student_id,first_name,surname,id_number,date_of_birth,gender,email,cellphone,registration_date,enrollment_status,nationality,province,program_code,study_year,campus
STU-100123,Michael,Van Wyk,9012125082083,12/01/1990,M,mvanwyk90@student.uct.ac.za,+27 82 123 4567,02/14/2022,Active,SA,"Western Cape",BCom-FIN,3,Main Campus
100124,Thando,Nkosi,9103156472081,15-MAR-1991,Male,t.nkosi@myuct.ac.za,0831234567,2022-02-14,active,South African,Western Cape,BCOM-FIN,3,Main
STU100125,Lerato,Molefe,9207182345082,"07/18/1992",F,lmolefe@mail.uct.ac.za,27833456789,14/02/2022,ACTIVE,SA,Gauteng,LLB,2,Main Campus
100126,Anele,Dlamini,,04/05/1993,F,adlamini93@student.uct.ac.za,+27 84 345 6789,15/02/2022,Active,South Africa,Eastern Cape,BSc-CS,2,Hiddingh
STU-100127,James,Smith,9405235082081,23/05/1994,M,jsmith@student.uct.ac.za,+27 85 456 7890,2022/02/15,Active,SA,KwaZulu-Natal,BSc-ENG,1,Main Campus
100128,Nomsa,"Ndlovu, ",9508270082083,27-08-1995,F,n.ndlovu@student.uct.co.za,0864567890,2022/02/15,Inactive,SA,Mpumalanga,BA-PSY,1,Main Campus
STU-100123,Michael,van Wyk,9012125082083,12/01/1990,Male,mvanwyk90@gmail.com,+27821234567,14-Feb-22,Active,South African,Western Cape,BCOM-FIN,3,Main Campus
100129,Sipho,Zulu,9609300082084,30/09/1996,M,szulu@uct.ac.za,+27 87 567 8901,16/02/2022,active,SA,Limpopo,BSc-PHYS,4,Main
STU-100130,,Botha,9710315082085,31/10/1997,Male,,+27 88 678 9012,16-02-2022,Active,SA,Free State,BA-ENG,4,Main Campus
100131,Fatima,Ismail,9811235082086,23/11/1998,F,fatima.i@student.uct.ac.za,+27 89 789 0123,17/02/2022,PENDING,ZA,North West,BSc-BIO,3,Health Sciences
STU100132,David,van der Merwe,9912145082087,14-Dec-99,M,dvdmerwe@uct.ac.za,0896789012,17-02-2022,Active,South Africa,Northern Cape,BEd,3,Main Campus
100133,Precious,Mabena,0001315082088,31/01/2000,F,pmabena@student.uct.ac.za,+27 90 890 1234,2022-02-17,Suspended,SA,Eastern Cape,Bcom-ACC,2,Main
STU-100134,Thabiso,Khumalo,0102285082089,28/02/2001,M,tkhumalo01@student.uct.ac.za,+27 91 901 2345,18/02/2022,Active,ZA,Gauteng,LLB,2,Main Campus
100135,Zanele,Mbeki,0203315082090,31-Mar-02,female,zmbeki@student.uct.ac.za,+27912345678,2022/02/18,Active,SA,Western Cape,BSc-Maths,1,Main Campus
100136,Thembeka,Naidoo,0304125082091,12/04/2003,F,tnaidoo@student.uct.ac.za,+27 92 012 3456,19/02/2022,Active,South African,KwaZulu-Natal,BA-HIST,1,Main
STU-100137,Mandla,Ncube,0405255082092,25/05/2004,M,mncube@student.uct.ac.za,+27 93 123 4567,2022-02-19,Active,SA,Mpumalanga,BCom-ECO,1,Main Campus
100138,Ayanda,Mthembu,0506155082093,15-Jun-05,Female,a.mthembu@uct.ac.za,0941234567,20/02/2022,active,SA,Eastern Cape,BSc-MATH,1,Main
